,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
294,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1980,0.0
295,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1981,0.0
296,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1982,0.0
297,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1983,0.0
298,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1984,0.0
299,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1985,0.0
300,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1986,0.0
301,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1987,0.0
302,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1988,0.0
303,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1989,0.0
304,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1990,0.0
305,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1991,0.0
306,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1992,0.0
307,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1993,0.0
308,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1994,0.0
309,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1995,0.0
310,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1996,0.0
311,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1997,0.0
312,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1998,0.0
313,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,1999,0.0
314,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2000,0.0
315,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2001,0.0
316,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2002,0.0
317,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2003,0.0
318,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2004,0.0
319,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2005,0.0
320,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2006,0.0
321,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2007,0.0
322,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2008,0.0
323,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2009,0.0
324,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2010,0.0
325,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2011,0.0
326,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2012,0.0
327,Compensation of Employees,"A Agriculture, forestry and fishing- (Use)",Constant prices of the previous year,2013,0.0
